Respondent_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Duration_UAE,Q5_Employment,Q6_Income_AED,Q7_Education,Q8_Insurance,Q9_Visit_Frequency,Q11_Preferred_Language,Q14_Prior_Telemedicine,Q18_Consultation_Mode,Q19_Willingness_to_Pay,Q20_Pricing_Model,Q25_Interest,Q1_Age_Group_Encoded,Q4_Duration_UAE_Encoded,Q6_Income_AED_Encoded,Q7_Education_Encoded,Q9_Visit_Frequency_Encoded,Q14_Prior_Telemedicine_Encoded,Q19_Willingness_to_Pay_Encoded,Q25_Interest_Encoded,Q12_Satisfaction,Q15_Digital_Comfort,Q17_Language_Importance,Q23_Recommend_Likelihood,Q13_Monthly_Spend_AED,Q13_Spend_Log,Q13_Outlier_Flag,Q25_Binary,Q10_Difficulty_finding_specialists,Q10_Difficulty_with_medical_records,Q10_Difficulty_with_prescriptions,Q10_High_out-of-pocket_costs,Q10_Inconvenient_locations_hours,Q10_Lack_of_insurance_knowledge,Q10_Lack_of_trust_with_providers,Q10_Language_barriers,Q10_Limited_mental_health_services,Q10_Long_waiting_times,Q10_No_challenges,Q16_AI_symptom_checker_triage,Q16_Doctor_clinic_reviews_and_ratings,Q16_E-prescriptions_and_medication_delivery,Q16_Emergency_helpline_and_hospital_locator,Q16_Health_record_management,Q16_Health_tips_for_expat_lifestyle,Q16_Insurance_compatibility_checker,Q16_Lab_test_booking_and_home_collection,Q16_Mental_health_and_counseling,Q16_Specialist_referrals_and_booking,Q16_Virtual_consultations_in_preferred_language,Q21_Data_privacy_security,Q21_Insurance_coverage_uncertainty,Q21_Lack_of_physical_examination,Q21_No_concerns,Q21_Prefer_in-person_only,Q21_Quality_of_virtual_diagnosis,Q21_Technology_issues,Q22_Data_encryption_privacy,Q22_Friend_employer_recommendation,Q22_Hospital_affiliation,Q22_Licensed_verified_doctors,Q22_Positive_user_reviews,Q11_Preferred_Language_Arabic,Q11_Preferred_Language_English,Q11_Preferred_Language_Hindi/Urdu,Q11_Preferred_Language_Malayalam,Q11_Preferred_Language_Other,Q11_Preferred_Language_Tagalog/Filipino,Q18_Consultation_Mode_No preference,Q18_Consultation_Mode_Text-based chat,Q18_Consultation_Mode_Video call,Q18_Consultation_Mode_Voice call,Q20_Pricing_Model_Flat subscription,Q20_Pricing_Model_Free with ads,Q20_Pricing_Model_Freemium,Q20_Pricing_Model_Pay-per-consultation,Q2_Gender_Female,Q2_Gender_Male,Q2_Gender_Prefer not to say,Q3_Nationality_African,Q3_Nationality_Arab (non-UAE),Q3_Nationality_Other,Q3_Nationality_South Asian,Q3_Nationality_Southeast Asian,Q3_Nationality_Western,Q5_Employment_Dependent/Homemaker,Q5_Employment_Employed full-time,Q5_Employment_Employed part-time,Q5_Employment_Self-employed/Freelancer,Q5_Employment_Student,Q5_Employment_Unemployed/Job seeker,Q8_Insurance_No - uninsured,Q8_Insurance_Yes - employer provided,Q8_Insurance_Yes - purchased individually,Q24_Open_Response
R0011,18-24,Male,South Asian,5-10 years,Student,"Above 50,000",Master's degree or above,No - uninsured,Rarely (0-1),Hindi/Urdu,"No, but aware",No preference,More than AED 150,Pay-per-consultation,Yes,1,4,6,4,1,2,6,2,3,4,4,3,1030,6.93828448401696,Normal,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,
R0012,55+,Male,South Asian,5-10 years,Employed full-time,"20,001-35,000",Bachelor's degree,No - uninsured,Occasionally (2-4),Hindi/Urdu,"No, never heard",Text-based chat,Up to AED 30,Freemium,Maybe,5,4,4,3,2,1,2,1,3,3,4,3,3340,8.114025442356757,High_spender,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,Pharmacy price comparison tool
R0013,45-54,Female,Arab (non-UAE),10+ years,Self-employed/Freelancer,"Above 50,000",Master's degree or above,Yes - purchased individually,Occasionally (2-4),Arabic,"No, never heard",Video call,AED 31-60,Free with ads,Maybe,4,5,6,4,2,1,3,1,2,3,3,4,1950,7.576097340623111,Normal,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Family package plans
R0014,25-34,Male,South Asian,3-5 years,Employed full-time,"10,001-20,000",Master's degree or above,Yes - purchased individually,Frequently (9+),English,"No, but aware",Voice call,AED 61-100,Pay-per-consultation,Maybe,2,3,3,4,4,2,4,1,4,5,3,4,1560,7.353081920515432,Normal,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,Pharmacy price comparison tool
R0015,25-34,Male,Arab (non-UAE),3-5 years,Self-employed/Freelancer,"20,001-35,000",Diploma/Vocational,Yes - purchased individually,Rarely (0-1),Arabic,"No, but aware",Video call,AED 31-60,Pay-per-consultation,Maybe,2,3,4,2,1,2,3,1,3,5,5,3,200,5.303304908059076,Normal,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Multilingual mental health counselors
R0016,25-34,Male,South Asian,5-10 years,Unemployed/Job seeker,"Below 5,000",Bachelor's degree,No - uninsured,Occasionally (2-4),English,"No, but aware",Voice call,Up to AED 30,Flat subscription,Yes,2,4,1,3,2,2,2,2,4,4,4,3,450,6.111467339502679,Normal,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,Family package plans
R0017,25-34,Male,Western,1-3 years,Employed full-time,"Below 5,000",High school or below,No - uninsured,Frequently (9+),English,"No, but aware",Voice call,AED 31-60,Free with ads,No,2,2,1,1,4,2,3,0,4,4,3,4,950,6.85751406254539,Normal,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,
R0018,35-44,Female,African,3-5 years,Employed part-time,"5,000-10,000",Master's degree or above,Yes - employer provided,Regularly (5-8),English,"No, never heard",Video call,AED 101-150,Pay-per-consultation,Maybe,3,3,2,4,3,1,5,1,2,4,3,3,380,5.942799375126701,Normal,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Ambulance tracking feature
R0019,25-34,Male,South Asian,3-5 years,Employed full-time,"5,000-10,000",Diploma/Vocational,No - uninsured,Frequently (9+),Malayalam,"No, never heard",Text-based chat,Up to AED 30,Freemium,Yes,2,3,2,2,4,1,2,2,2,4,5,4,960,6.8679744089702925,Normal,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,
R0020,25-34,Male,South Asian,<1 year,Dependent/Homemaker,"5,000-10,000",High school or below,Yes - employer provided,Frequently (9+),Hindi/Urdu,"Yes, regularly",Video call,AED 31-60,Freemium,Yes,2,1,2,1,4,4,3,2,1,5,5,3,430,6.066108090103747,Normal,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,
R0021,35-44,Female,South Asian,3-5 years,Employed full-time,"5,000-10,000",Bachelor's degree,Yes - purchased individually,Occasionally (2-4),Hindi/Urdu,"No, never heard",No preference,Up to AED 30,Freemium,No,3,3,2,3,2,1,2,0,4,4,5,4,400,5.993961427306569,Normal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,Dental care referrals
R0022,25-34,Male,South Asian,10+ years,Student,"Below 5,000",Bachelor's degree,Yes - employer provided,Regularly (5-8),Arabic,"Yes, regularly",Video call,Free only,Pay-per-consultation,Maybe,2,5,1,3,3,4,1,1,3,4,4,3,80,4.394449154672439,Normal,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Pregnancy and maternity tracking
R0023,25-34,Female,Arab (non-UAE),10+ years,Student,"Below 5,000",Master's degree or above,Yes - purchased individually,Rarely (0-1),Arabic,"No, but aware",Voice call,More than AED 150,Pay-per-consultation,Maybe,2,5,1,4,1,2,6,1,3,5,5,4,180,5.198497031265826,Normal,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Ambulance tracking feature
R0024,25-34,Male,Western,<1 year,Employed full-time,"Below 5,000",Master's degree or above,Yes - employer provided,Occasionally (2-4),English,"Yes, once or twice",No preference,AED 31-60,Flat subscription,Yes,2,1,1,4,2,3,3,2,3,5,3,3,70,4.2626798770413155,Normal,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Video physiotherapy sessions
R0025,35-44,Male,Arab (non-UAE),<1 year,Employed full-time,"20,001-35,000",Bachelor's degree,Yes - employer provided,Regularly (5-8),Arabic,"No, never heard",No preference,AED 61-100,Pay-per-consultation,No,3,1,4,3,3,1,4,0,2,3,4,3,900,6.803505257608338,Normal,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Pregnancy and maternity tracking
R0026,45-54,Male,Western,1-3 years,Employed full-time,"5,000-10,000",High school or below,Yes - employer provided,Occasionally (2-4),English,"Yes, regularly",Voice call,Up to AED 30,Freemium,Yes,4,2,2,1,2,4,2,2,3,5,3,3,380,5.942799375126701,Normal,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,
R0027,25-34,Female,South Asian,10+ years,Student,Prefer not to say,Bachelor's degree,No - uninsured,Regularly (5-8),Hindi/Urdu,"Yes, once or twice",Voice call,More than AED 150,Free with ads,Yes,2,5,3,3,3,3,6,2,4,4,4,4,1150,7.048386408721883,Normal,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,Video physiotherapy sessions
R0028,35-44,Prefer not to say,South Asian,1-3 years,Employed full-time,"35,001-50,000",Bachelor's degree,Yes - employer provided,Regularly (5-8),Malayalam,"Yes, regularly",Voice call,AED 61-100,Freemium,Maybe,3,2,5,3,3,4,4,1,3,4,3,4,1790,7.490529402060711,Normal,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,Integration with DHA medical records
R0029,35-44,Male,Arab (non-UAE),5-10 years,Employed part-time,"10,001-20,000",Bachelor's degree,Yes - employer provided,Rarely (0-1),Arabic,"No, never heard",No preference,AED 61-100,Freemium,Yes,3,4,3,3,1,1,4,2,2,5,4,3,140,4.948759890378168,Normal,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,
R0030,18-24,Male,South Asian,<1 year,Student,"10,001-20,000",Bachelor's degree,Yes - employer provided,Regularly (5-8),Malayalam,"Yes, regularly",Video call,Free only,Pay-per-consultation,Yes,1,1,3,3,3,4,1,2,3,5,5,3,600,6.398594934535208,Normal,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,Second opinion feature
R0031,35-44,Male,Arab (non-UAE),5-10 years,Employed full-time,"Below 5,000",Bachelor's degree,Yes - employer provided,Occasionally (2-4),English,"Yes, once or twice",Video call,Free only,Free with ads,No,3,4,1,3,2,3,1,0,4,3,3,4,5,1.791759469228055,Normal,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,
R0032,25-34,Male,South Asian,1-3 years,Self-employed/Freelancer,Prefer not to say,Bachelor's degree,No - uninsured,Rarely (0-1),Other,"No, but aware",Voice call,AED 31-60,Freemium,Yes,2,2,3,3,1,2,3,2,2,4,5,3,600,6.398594934535208,Normal,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,Ambulance tracking feature
R0033,18-24,Male,South Asian,5-10 years,Employed full-time,"35,001-50,000",Master's degree or above,No - uninsured,Regularly (5-8),Hindi/Urdu,"No, but aware",Voice call,AED 61-100,Flat subscription,Maybe,1,4,5,4,3,2,4,1,2,5,5,4,1880,7.53955882930103,Normal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,Pharmacy price comparison tool
R0034,55+,Female,Other,1-3 years,Employed full-time,"35,001-50,000",Bachelor's degree,Yes - employer provided,Occasionally (2-4),Tagalog/Filipino,"No, never heard",Video call,AED 101-150,Free with ads,Yes,5,2,5,3,2,1,5,2,5,3,5,3,1380,7.2305631534092925,Normal,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Nutrition and diet planning
R0035,55+,Male,South Asian,5-10 years,Unemployed/Job seeker,"10,001-20,000",Master's degree or above,No - uninsured,Regularly (5-8),Hindi/Urdu,"Yes, once or twice",Voice call,Up to AED 30,Freemium,Yes,5,4,3,4,3,3,2,2,1,3,5,2,2260,7.72356247227797,Normal,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,
R0036,45-54,Male,Other,1-3 years,Employed full-time,"10,001-20,000",Bachelor's degree,Yes - purchased individually,Occasionally (2-4),Arabic,"No, but aware",Video call,AED 61-100,Free with ads,Maybe,4,2,3,3,2,2,4,1,5,3,4,4,760,6.634633357861686,Normal,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Pregnancy and maternity tracking
R0037,25-34,Male,Other,5-10 years,Employed full-time,"35,001-50,000",Diploma/Vocational,Yes - employer provided,Occasionally (2-4),Other,"Yes, once or twice",Video call,More than AED 150,Flat subscription,Yes,2,4,5,2,2,3,6,2,3,4,4,3,950,6.85751406254539,Normal,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Family package plans
R0038,18-24,Male,Western,10+ years,Student,"Below 5,000",Master's degree or above,Yes - purchased individually,Regularly (5-8),English,"Yes, once or twice",No preference,AED 31-60,Pay-per-consultation,Yes,1,5,1,4,3,3,3,2,4,5,3,3,170,5.14166355650266,Normal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
R0039,35-44,Male,Arab (non-UAE),1-3 years,Employed full-time,"20,001-35,000",Bachelor's degree,Yes - employer provided,Occasionally (2-4),Arabic,"No, never heard",Voice call,AED 61-100,Pay-per-consultation,Yes,3,2,4,3,2,1,4,2,3,3,4,2,650,6.478509642208569,Normal,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Integration with DHA medical records
